MSG	0 TMT_EVENT: task_started
MSG	0 TMT_EVENT: timer_started
SFIX R   0
0	959.4	537.7	33399	...
2	962.9	542.7	32978	...
4	959.1	537.3	32018	...
6	959.0	538.2	32315	...
8	961.8	540.2	33459	...
10	958.7	540.7	33343	...
12	957.5	541.8	32083	...
14	957.1	541.6	32201	...
16	959.6	542.1	32916	...
18	959.1	537.7	33184	...
20	959.8	541.8	33475	...
22	961.9	540.6	33098	...
24	958.6	538.5	32685	...
26	957.0	540.2	33208	...
28	957.4	538.5	32304	...
30	958.0	538.4	32300	...
32	959.5	537.4	32986	...
34	962.3	538.1	32570	...
36	962.9	538.0	32621	...
38	958.8	541.8	33139	...
40	958.1	539.8	33437	...
42	957.1	538.9	32165	...
44	960.2	539.3	33335	...
46	957.2	541.6	33393	...
48	958.5	537.8	32750	...
50	962.4	539.1	32563	...
52	962.3	541.1	32721	...
54	957.3	540.7	33009	...
56	959.9	537.5	32951	...
58	957.4	539.9	32034	...
60	961.0	542.4	32834	...
62	961.3	542.9	32305	...
64	958.1	541.9	33001	...
66	960.3	538.4	33418	...
68	961.5	538.8	32410	...
70	958.3	538.9	32114	...
72	961.8	539.1	33162	...
74	958.6	537.0	33251	...
76	960.2	538.1	32203	...
78	960.2	541.9	33413	...
80	957.9	538.9	32152	...
82	960.6	541.5	32975	...
84	961.2	538.3	33088	...
86	958.7	538.9	32954	...
88	957.3	540.6	32743	...
90	962.4	540.7	33008	...
92	961.7	541.4	32666	...
94	959.5	541.2	32122	...
96	959.7	542.8	33258	...
98	959.5	540.4	32583	...
100	959.1	542.1	32396	...
102	959.1	540.1	32971	...
104	962.1	541.9	33012	...
106	958.6	541.8	33315	...
108	959.0	539.0	32232	...
110	958.2	539.6	33384	...
112	957.9	540.8	32241	...
114	960.0	537.1	32244	...
116	958.8	541.3	32361	...
118	960.1	542.8	33428	...
120	962.5	540.2	32691	...
122	962.8	538.6	32479	...
124	960.3	540.5	33032	...
126	962.4	541.0	33355	...
128	962.1	537.4	32174	...
130	958.2	538.2	33014	...
132	961.8	538.5	32527	...
134	961.7	538.6	32801	...
136	961.0	540.2	32620	...
138	961.4	542.4	32472	...
140	958.7	541.6	32019	...
142	961.7	542.9	32271	...
144	961.7	542.5	32242	...
146	957.1	541.0	32956	...
148	957.6	540.1	32917	...
150	961.6	538.0	32116	...
152	961.7	539.5	32055	...
154	961.9	540.8	32755	...
156	961.2	538.6	32963	...
158	962.8	539.5	33163	...
160	959.2	540.9	33360	...
162	957.4	537.1	33428	...
164	960.6	540.4	32872	...
166	959.6	541.2	32487	...
168	962.7	542.3	32635	...
170	957.4	542.4	33396	...
172	961.6	542.5	33498	...
174	959.0	539.3	32028	...
176	959.8	540.3	33299	...
178	957.5	538.2	33186	...
180	958.1	537.7	33021	...
182	958.1	539.8	32443	...
184	961.3	537.7	32620	...
186	959.0	540.8	32322	...
188	960.1	542.7	32851	...
190	958.3	542.7	32105	...
192	962.9	539.9	32240	...
194	960.4	539.6	33377	...
196	959.0	541.9	32436	...
198	962.0	542.3	33177	...
200	960.9	539.9	33492	...
202	960.9	537.9	32356	...
204	961.0	541.0	33294	...
206	960.1	537.5	33404	...
208	959.9	542.1	33429	...
210	960.2	539.7	32803	...
212	958.9	538.9	32820	...
214	959.7	538.7	33380	...
216	958.2	538.6	33216	...
EFIX R   0	218	218	960.0	540.0	33000
SSACC R  218
218	958.6	541.3	32478	...
220	954.8	545.2	32168	...
222	948.6	551.3	32214	...
224	940.6	559.4	33213	...
226	930.8	569.1	32492	...
228	919.6	580.2	32438	...
230	907.3	592.5	32156	...
232	894.2	605.5	32891	...
234	880.5	619.2	32433	...
236	866.6	633.1	32816	...
238	852.6	647.0	33228	...
240	838.9	660.7	32543	...
242	825.8	673.7	32723	...
244	813.5	686.0	32717	...
246	802.3	697.1	32903	...
248	792.6	706.8	33051	...
250	784.5	714.9	32352	...
252	778.4	721.0	32074	...
254	774.5	724.8	33223	...
256	773.1	726.2	32172	...
ESACC R  218	258	40	960.0	540.0	773.1	726.2	5.0	150
SFIX R   258
258	770.5	726.4	32646	...
260	772.8	727.3	33125	...
262	775.8	725.1	32915	...
264	775.4	724.6	32885	...
266	774.6	728.7	33318	...
